ID,대륙,여행지,기후,수질(경수/연수),별점,성별,나이,직업,피부타입,체감온도,습도,추천 화장품,추천 메이크업,추천 스킨케어,리뷰 내용
desertrose_vibe,오세아니아,미크로네시아,열대기후,연수,★★★★★,여성,48,바리스타,복합성,33°C (체감),75%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
travelbug99,오세아니아,미크로네시아,열대기후,연수,★★★★★,남성,55,프로그래머,복합성,35°C (체감),78%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
nomakeupdays_love,오세아니아,미크로네시아,열대기후,연수,★★★☆☆,여성,22,프리랜서,복합성,30°C (체감),81%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
paul_world,오세아니아,미크로네시아,열대기후,연수,★★★★★,남성,29,디자이너,복합성,32°C (체감),84%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
glowup88,오세아니아,미크로네시아,열대기후,연수,★★★★★,여성,36,승무원,복합성,34°C (체감),87%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
serumfan_note,오세아니아,미크로네시아,열대기후,연수,★★★★★,남성,43,마케터,복합성,36°C (체감),90%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
suncareguru23,오세아니아,미크로네시아,열대기후,연수,★★★★☆,여성,50,공무원,복합성,31°C (체감),77%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
funtraveler88,오세아니아,미크로네시아,열대기후,연수,★★★★☆,남성,57,회계사,복합성,33°C (체감),80%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
mistyday99,유럽,모나코,온대기후,경수,★★★☆☆,남성,29,수의사,복합성,19°C (체감),50%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
somin_official,유럽,모나코,온대기후,경수,★★★★★,여성,36,영업직,복합성,21°C (체감),53%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
yerin_life,유럽,모나코,온대기후,경수,★★☆☆☆,남성,43,대학생,복합성,23°C (체감),56%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
hana_log,유럽,모나코,온대기후,경수,★★★☆☆,여성,50,간호사,복합성,25°C (체감),59%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
passportready_official,유럽,모나코,온대기후,경수,★★★★☆,남성,57,사진작가,복합성,27°C (체감),62%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
daeun_log,유럽,모나코,온대기후,경수,★★★★☆,여성,24,엔지니어,복합성,15°C (체감),45%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
beachbum99,유럽,모나코,온대기후,경수,★★★☆☆,남성,31,약사,복합성,17°C (체감),48%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
seungmin_diary,유럽,모나코,온대기후,경수,★★★★★,여성,38,트레이너,복합성,19°C (체감),51%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
beachbum_vibe,유럽,모나코,온대기후,경수,★★☆☆☆,남성,45,건축가,복합성,21°C (체감),54%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
mistyday_world,유럽,모나코,온대기후,경수,★★★★☆,여성,52,일러스트레이터,복합성,23°C (체감),57%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
jihoon23,유럽,몬테네그로,온대기후,경수,★★★★☆,여성,32,교사,건성,22°C (체감),53%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
mia88,유럽,몬테네그로,온대기후,경수,★★☆☆☆,남성,39,요리사,건성,24°C (체감),56%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
glowup_zone,유럽,몬테네그로,온대기후,경수,★★★★★,여성,46,자영업,건성,26°C (체감),59%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
desertrose_official,유럽,몬테네그로,온대기후,경수,★★★★★,남성,53,여행가이드,건성,28°C (체감),62%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
taeyang23,유럽,몬테네그로,온대기후,경수,★★★★★,여성,20,작가,건성,16°C (체감),45%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
dailyglow_zone,유럽,몬테네그로,온대기후,경수,★★★☆☆,남성,27,연구원,건성,18°C (체감),48%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
gina88,유럽,몬테네그로,온대기후,경수,★★★★★,여성,34,바리스타,건성,20°C (체감),51%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
urbanexplorer88,유럽,몬테네그로,온대기후,경수,★★★☆☆,남성,41,프로그래머,건성,22°C (체감),54%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
combiskin_love,유럽,몬테네그로,온대기후,경수,★★★☆☆,여성,48,프리랜서,건성,24°C (체감),57%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
haeri_life,유럽,몬테네그로,온대기후,경수,★☆☆☆☆,남성,55,디자이너,건성,26°C (체감),60%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
jisoo_love,아프리카,모잠비크,열대기후,연수,★★★★★,여성,52,영업직,건성,33°C (체감),87%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
jihoon_zone,아프리카,모잠비크,열대기후,연수,★★★★☆,남성,59,대학생,건성,35°C (체감),90%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
eunji_k,아프리카,모잠비크,열대기후,연수,★★★☆☆,여성,26,간호사,건성,30°C (체감),77%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
hana_story,아프리카,모잠비크,열대기후,연수,★★★★☆,남성,33,사진작가,건성,32°C (체감),80%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
jihoon_mode,아프리카,모잠비크,열대기후,연수,★★★★★,여성,40,엔지니어,건성,34°C (체감),83%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
hydrationqueen99,아프리카,모잠비크,열대기후,연수,★★★☆☆,남성,47,약사,건성,36°C (체감),86%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
moisturemax01,아프리카,모잠비크,열대기후,연수,★★★☆☆,여성,54,트레이너,건성,31°C (체감),89%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
cloudnine_mode,아프리카,모잠비크,열대기후,연수,★★★★☆,남성,21,건축가,건성,33°C (체감),76%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
yuna_k,아프리카,모잠비크,열대기후,연수,★★★★☆,여성,28,일러스트레이터,건성,35°C (체감),79%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
jisoo_k,아프리카,모잠비크,열대기후,연수,★★★★★,남성,35,회사원,건성,30°C (체감),82%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
hydrationqueen_life,아프리카,나미비아,건조기후,경수,★★★★☆,여성,44,디자이너,복합성,37°C (체감),15%,"고SPF 선크림, 쿨링 미스트, 립밤",립 제품은 보습 밤 타입을 선택해 건조함으로 인한 각질을 예방하세요.,건조한 기후이므로 미스트를 수시로 뿌려 수분을 보충하는 것이 중요합니다.,일교차가 커서 낮에는 덥고 밤에는 쌀쌀해 피부가 예민해졌어요.
fiona_mode,아프리카,나미비아,건조기후,경수,★★★☆☆,남성,51,승무원,복합성,39°C (체감),18%,"수분 크림, 선쿠션, 진정 스프레이",촉촉한 베이스에 크림 타입 블러셔로 생기를 더하는 메이크업을 추천합니다.,강한 햇빛 대비 SPF 높은 제품을 사용하고 쿨링 미스트로 열감을 진정시켜 주세요.,건조한 바람 때문에 입술과 볼이 자주 텄어요. 수분 크림 없이는 힘들었을 것 같아요.
sunnytraveler01,아프리카,나미비아,건조기후,경수,★★★★☆,여성,58,마케터,복합성,41°C (체감),21%,"고보습 선크림, 미스트, 영양 크림",메이크업은 최소화하고 톤업 선크림으로 자연스럽게 마무리하는 것을 권장합니다.,자외선 노출 후 진정 젤로 쿨다운하고 세럼으로 수분을 채워주는 것을 추천합니다.,햇빛이 강렬해서 선크림을 2~3시간마다 덧발라야 했어요.
skinfirst23,아프리카,나미비아,건조기후,경수,★☆☆☆☆,남성,25,공무원,복합성,29°C (체감),24%,"저자극 선크림, 진정 젤, 수분 세럼",가벼운 수분 쿠션으로 건조함을 커버하며 자연스러운 룩을 연출하세요.,낮은 습도로 인한 수분 손실을 막기 위해 고보습 크림을 겹겹이 발라주세요.,사막성 기후라 그런지 평소보다 피부가 훨씬 건조해지는 걸 느꼈어요.
chaewon_k,아프리카,나미비아,건조기후,경수,★★★★☆,여성,32,회계사,복합성,31°C (체감),27%,"수분 로션, 선크림, 핸드크림",고보습 베이스 제품으로 들뜸 없이 매끈한 피부 표현이 가능합니다.,입술과 손이 트기 쉬우므로 립밤과 핸드크림을 항상 휴대하는 것이 좋습니다.,낮은 습도 때문에 피부가 계속 당기고 화장이 들떴어요. 수분 로션이 필수였습니다.
jisoo_vibe,아프리카,나미비아,건조기후,경수,★★★★☆,남성,39,수의사,복합성,33°C (체감),30%,"고SPF 선크림, 쿨링 미스트, 립밤",립 제품은 보습 밤 타입을 선택해 건조함으로 인한 각질을 예방하세요.,건조한 기후이므로 미스트를 수시로 뿌려 수분을 보충하는 것이 중요합니다.,일교차가 커서 낮에는 덥고 밤에는 쌀쌀해 피부가 예민해졌어요.
funtraveler_vibe,아프리카,나미비아,건조기후,경수,★★★☆☆,여성,46,영업직,복합성,35°C (체감),33%,"수분 크림, 선쿠션, 진정 스프레이",촉촉한 베이스에 크림 타입 블러셔로 생기를 더하는 메이크업을 추천합니다.,강한 햇빛 대비 SPF 높은 제품을 사용하고 쿨링 미스트로 열감을 진정시켜 주세요.,건조한 바람 때문에 입술과 볼이 자주 텄어요. 수분 크림 없이는 힘들었을 것 같아요.
travelbug_log,아프리카,나미비아,건조기후,경수,★★☆☆☆,남성,53,대학생,복합성,37°C (체감),16%,"고보습 선크림, 미스트, 영양 크림",메이크업은 최소화하고 톤업 선크림으로 자연스럽게 마무리하는 것을 권장합니다.,자외선 노출 후 진정 젤로 쿨다운하고 세럼으로 수분을 채워주는 것을 추천합니다.,햇빛이 강렬해서 선크림을 2~3시간마다 덧발라야 했어요.
yeji99,아프리카,나미비아,건조기후,경수,★★★☆☆,여성,20,간호사,복합성,39°C (체감),19%,"저자극 선크림, 진정 젤, 수분 세럼",가벼운 수분 쿠션으로 건조함을 커버하며 자연스러운 룩을 연출하세요.,낮은 습도로 인한 수분 손실을 막기 위해 고보습 크림을 겹겹이 발라주세요.,사막성 기후라 그런지 평소보다 피부가 훨씬 건조해지는 걸 느꼈어요.
chorong_daily,아프리카,나미비아,건조기후,경수,★★★★☆,남성,27,사진작가,복합성,41°C (체감),22%,"수분 로션, 선크림, 핸드크림",고보습 베이스 제품으로 들뜸 없이 매끈한 피부 표현이 가능합니다.,입술과 손이 트기 쉬우므로 립밤과 핸드크림을 항상 휴대하는 것이 좋습니다.,낮은 습도 때문에 피부가 계속 당기고 화장이 들떴어요. 수분 로션이 필수였습니다.
haeri99,오세아니아,나우루,열대기후,연수,★★★★☆,남성,41,여행가이드,건성,31°C (체감),76%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
backpacklife23,오세아니아,나우루,열대기후,연수,★★★★★,여성,48,작가,지성,33°C (체감),79%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
hyejin_story,오세아니아,나우루,열대기후,연수,★★★★☆,남성,55,연구원,복합성,35°C (체감),82%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
minji_story,오세아니아,나우루,열대기후,연수,★★★☆☆,여성,22,바리스타,민감성,30°C (체감),85%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
iseul_life,오세아니아,나우루,열대기후,연수,★★★★★,남성,29,프로그래머,건성,32°C (체감),88%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
globetrotter99,오세아니아,나우루,열대기후,연수,★★★★★,여성,36,프리랜서,지성,34°C (체감),75%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
frostyvibe88,오세아니아,나우루,열대기후,연수,★★★★★,남성,43,디자이너,복합성,36°C (체감),78%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
jiyeon07,오세아니아,나우루,열대기후,연수,★★★★☆,여성,50,승무원,민감성,31°C (체감),81%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
jiho23,오세아니아,나우루,열대기후,연수,★★★★☆,남성,57,마케터,건성,33°C (체감),84%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
cloudnine_life,오세아니아,나우루,열대기후,연수,★☆☆☆☆,여성,24,공무원,지성,35°C (체감),87%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
suji99,아시아,네팔,온대기후,연수,★★★☆☆,여성,52,영업직,건성,26°C (체감),53%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
urbanexplorer_life,아시아,네팔,온대기후,연수,★★☆☆☆,남성,59,대학생,건성,28°C (체감),56%,"저자극 크림, 진정 토너, 수분 마스크팩",가벼운 산뜻한 로션 타입으로 유분이 적은 제품 위주로 사용하세요.,실내외 온도차가 큰 날에는 수분크림을 자주 덧발라 주는 것이 좋습니다.,일교차가 커서 아침저녁으로 피부 컨디션이 완전히 달랐어요. 저자극 크림이 도움이 됐어요.
hyerin_note,아시아,네팔,온대기후,연수,★★★★★,여성,26,간호사,건성,16°C (체감),59%,"산뜻한 로션, 선크림, 블로팅 페이퍼",촉촉한 선쿠션과 립틴트로 화사한 인상을 연출할 수 있습니다.,일교차가 크므로 수분 크림으로 아침저녁 보습을 꼼꼼히 챙겨주세요.,날씨는 선선했는데 실내 난방 때문에 오히려 피부가 건조하고 번들거렸어요.
glowygirl_love,아시아,네팔,온대기후,연수,★★★★☆,남성,33,사진작가,건성,18°C (체감),62%,"수분 크림, 립틴트, 선쿠션",촉촉한 쿠션과 크림 블러셔로 생기 있는 룩을 연출하는 것을 추천합니다.,환절기 피부 컨디션 변화에 대비해 올인원 로션으로 간편하게 보습을 유지하세요.,사계절이 뚜렷한 곳이라 그런지 여행 기간 내내 온도 변화에 신경 써야 했어요.
jiho_zone,아시아,네팔,온대기후,연수,★★★☆☆,여성,40,엔지니어,건성,20°C (체감),45%,"수분 크림, 선크림, 립밤",가벼운 톤업로션 정도로 자연스럽게 표현하는 메이크업이 잘 어울립니다.,일교차로 예민해지기 쉬운 피부에는 저자극 진정 라인 사용을 권장합니다.,생각보다 자외선이 강해서 선크림을 안 쓰면 금방 붉어졌어요.
daon_daily,아시아,네팔,온대기후,연수,★★★★★,남성,47,약사,건성,22°C (체감),48%,"올인원 로션, 선크림, 미스트",저자극 톤업크림 위주로 하고 색조는 최소화하는 것을 권장합니다.,실내 난방·냉방으로 건조해지기 쉬우니 블로팅 페이퍼와 미스트를 함께 챙기세요.,쾌적한 날씨였지만 건조해서 립밤과 수분크림을 자주 발라야 했어요.
